"product_id","product_name","last_category","actual_price","actual_price_krw","discounted_price","discounted_price_krw","rating","rating_count"
"B0083T231O","Belkin Essential Series 4-Socket Surge Protector Universal Socket with 5ft Heavy Duty Cable (Grey)","SurgeProtectors","1499.00","21585.6","1289.00","18561.6","4.0","20668"
"B0085IATT6","D-Link DIR-615 Wi-fi Ethernet-N300 Single_band 300Mbps Router, Mobile App Support, Router | AP | Repeater | Client Modes(Black)","Routers","1800.00","25920.0","899.00","12945.6","4.0","22375"
"B0085W2MUQ","Orpat HHB-100E 250-Watt Hand Blender (White)","HandBlenders","970.00","13968.0","765.00","11016.0","4.0","6055"
"B0088TKTY2","TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black","WirelessUSBAdapters","1399.00","20145.6","649.00","9345.6","4.0","179691"
"B008FWZGSG","Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White","USBCables","599.00","8625.6","599.00","8625.6","4.0","355"
"B008IFXQFU","TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3","WirelessUSBAdapters","999.00","14385.6","499.00","7185.6","4.0","179691"
"B008LN8KDM","Philips GC1920/28 1440-Watt Non-Stick Soleplate Steam Iron","SteamIrons","2095.00","30168.0","1849.00","26625.6","4.0","7681"
"B008QS9J6Y","Logitech C270 Digital HD Webcam with Widescreen HD Video Calling, HD Light Correction, Noise-Reducing Mic, for Skype, FaceTime, Hangouts, WebEx, PC/Mac/Laptop/MacBook/Tablet - (Black, HD 720p/30fps)","Webcams","2595.00","37368.0","1990.00","28656.0","4.0","20398"
"B008QTK47Q","Philips GC1905 1440-Watt Steam Iron with Spray (Blue)","SteamIrons","1745.00","25128.0","1614.00","23241.6","4.0","37974"
"B008YW3CYM","USHA EI 1602 1000 W Lightweight Dry Iron with Non-Stick Soleplate (Multi-colour)","DryIrons","1190.00","17136.0","616.00","8870.4","4.0","37126"
"B008YW8M0G","Bajaj DX-7 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White","DryIrons","875.00","12600.0","775.00","11160.0","4.0","46647"
"B00935MGHS","Prestige PSMFB 800 Watt Sandwich Toaster with Fixed Plates, Black","SandwichMakers","1795.00","25848.0","1199.00","17265.6","4.0","5967"
"B009P2L7CO","Bajaj DHX-9 1000W Heavy Weight Dry Iron with Advance Soleplate and Anti-Bacterial German Coating Technology, Ivory","DryIrons","1920.00","27648.0","1099.00","15825.6","4.0","9772"
"B009P2LITG","Bajaj Majesty RX11 2000 Watts Heat Convector Room Heater (White, ISI Approved)","ElectricHeaters","3279.00","47217.6","2169.00","31233.6","4.0","1716"
"B009P2LK08","Bajaj Minor 1000 Watts Radiant Room Heater (Steel, ISI Approved)","ElectricHeaters","1129.00","16257.6","749.00","10785.6","4.0","2446"
"B009UORDX4","Philips Hi113 1000-Watt Plastic Body Ptfe Coating Dry Iron, Pack of 1","DryIrons","975.00","14040.0","949.00","13665.6","4.0","7223"
"B009VCGPSY","HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces (H2C21AA, Black/Grey)","Mice","649.00","9345.6","269.00","3873.6","4.0","54315"
"B00A0VCJPI","TP-Link TL-WA850RE Single_Band 300Mbps RJ45 Wireless Range Extender, Broadband/Wi-Fi Extender, Wi-Fi Booster/Hotspot with 1 Ethernet Port, Plug and Play, Built-in Access Point Mode, White","Repeaters&Extenders","2499.00","35985.6","1469.00","21153.6","4.0","156638"
"B00A328ENA","Panasonic SR-WA22H (E) Automatic Rice Cooker, Apple Green, 2.2 Liters","Rice&PastaCookers","3945.00","56808.0","2976.00","42854.4","4.0","3740"
"B00A7PLVU6","Orpat HHB-100E WOB 250-Watt Hand Blender (White)","HandBlenders","899.00","12945.6","753.00","10843.2","4.0","18462"
"B00ABMASXG","Bajaj Immersion Rod Water Heater 1500 Watts, Silver","ImmersionRods","720.00","10368.0","539.00","7761.6","4.0","36017"
"B00AXHBBXU","Casio FX-82MS 2nd Gen Non-Programmable Scientific Calculator, 240 Functions and 2-line Display, Black","Scientific","550.00","7920.0","522.00","7516.8","4.0","12179"
"B00B3VFJY2","HUL Pureit Germkill kit for Advanced 23 L water purifier - 3000 L Capacity, Sand, Multicolour","WaterPurifierAccessories","980.00","14112.0","980.00","14112.0","4.0","4740"
"B00B7GKXMG","Wipro Smartlife Super Deluxe Dry Iron- 1000W","DryIrons","850.00","12240.0","699.00","10065.6","4.0","1106"
"B00C3GBCIS","GIZGA Club-laptop Neoprene Reversible for 15.6-inches Laptop Sleeve - Black-Red","LaptopSleeves&Slipcases","499.00","7185.6","249.00","3585.6","4.0","22860"
"B00CEQEGPI","Logitech MK270r USB Wireless Keyboard and Mouse Set for Windows, 2.4 GHz Wireless, Spill-resistant Design, 8 Multimedia & Shortcut Keys, 2-Year Battery Life, PC/Laptop- Black","Keyboard&MouseSets","2295.00","33048.0","1345.00","19368.0","4.0","17413"
"B00DJ5N9VK","Faber-Castell Connector Pen Set - Pack of 25 (Assorted)","ColouringPens&Markers","150.00","2160.0","150.00","2160.0","4.0","15867"
"B00E3DVQFS","Duracell Rechargeable AA 2500mAh Batteries, 4 Pcs","DisposableBatteries","1109.00","15969.6","879.00","12657.6","4.0","31599"
"B00E9G8KOY","HUL Pureit Germkill kit for Classic 23 L water purifier - 1500 L Capacity","WaterPurifierAccessories","600.00","8640.0","600.00","8640.0","4.0","10907"
"B00EDJJ7FS","Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop with Feather Touch Sensor and Crystal Glass Plate (Black)","InductionCooktop","5295.00","76248.0","3229.00","46497.6","4.0","39724"
"B00EYW1U68","TP-Link TL-WA855RE 300 Mbps Wi-Fi Range Extender (White)","Repeaters&Extenders","3599.00","51825.6","1599.00","23025.6","4.0","16182"
"B00F159RIK","Bajaj DX-2 600W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, Black","DryIrons","625.00","9000.0","499.00","7185.6","4.0","5355"
"B00GE55L22","Storite USB 3.0 Cable A to Micro B high Speed Upto 5 Gbps Data Transfer Cable for Portable External Hard Drive - (20cm), Black","USBCables","699.00","10065.6","299.00","4305.6","4.0","2957"
"B00GG59HU2","BlueRigger High Speed HDMI Cable with Ethernet - Supports 3D, 4K 60Hz and Audio Return - Latest Version (3 Feet / 0.9 Meter)","HDMICables","599.00","8625.6","467.00","6724.8","4.0","44054"
"B00GHL8VP2","USHA 1212 PTC with Adjustable Thermostat Fan Heater (Black/Brown, 1500-Watts).","ElectricHeaters","4990.00","71856.0","3487.00","50212.8","4.0","1127"
"B00GZLB57U","Quantum RJ45 Ethernet Patch Cable/LAN Router Cable with Heavy Duty Gold Plated Connectors Supports Hi-Speed Gigabit Upto 1000Mbps, Waterproof and Durable,1-Year Warranty-32.8 Feet (10 Meters)(White)","EthernetCables","699.00","10065.6","238.00","3427.2","4.0","8372"
"B00H3H03Q4","HUL Pureit Germkill kit for Classic 23 L water purifier - 3000 L Capacity","WaterCartridges","1130.00","16272.0","1130.00","16272.0","4.0","13250"
"B00HVXS7WC","Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White","MixerGrinders","3210.00","46224.0","1999.00","28785.6","4.0","41349"
"B00HZIOGXW","Crompton IHL 152 1500-Watt Immersion Water Heater with Copper Heating Element (Black)","ImmersionRods","825.00","11880.0","610.00","8784.0","4.0","13165"
"B00J4YG0PC","Classmate Long Notebook - 140 Pages, Single Line, 297mm x 210mm (Pack of 12)","CompositionNotebooks","720.00","10368.0","561.00","8078.4","4.0","3182"
"B00J5DYCCA","Havells Ventil Air DSP 230mm Exhaust Fan (Pista Green)","ExhaustFans","1890.00","27216.0","1399.00","20145.6","4.0","8031"
"B00JBNZPFM","Karcher WD3 EU Wet and Dry Vacuum Cleaner, 1000 Watts Powerful Suction, 17 L Capacity, Blower Function, Easy Filter Removal for Home and Garden Cleaning  (Yellow/Black)","Wet-DryVacuums","10999.00","158385.6","6199.00","89265.6","4.0","10429"
"B00K32PEW4","Casio MJ-120D 150 Steps Check and Correct Desktop Calculator with Tax Keys, Black","Financial&Business","535.00","7704.0","535.00","7704.0","4.0","4426"
"B00K57MR22","Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)","MixerGrinders","8478.00","122083.2","6120.00","88128.0","4.0","6550"
"B00KIDSU8S","Havells Ventil Air DX 200mm Exhaust Fan (White)","ExhaustFans","2360.00","33984.0","1999.00","28785.6","4.0","7801"
"B00KIE28X0","Camel Artist Acrylic Color Box - 9ml Tubes, 12 Shades","Paints","310.00","4464.0","310.00","4464.0","4.0","5882"
"B00KXULGJQ","TP-Link AC750 Wifi Range Extender | Up to 750Mbps | Dual Band WiFi Extender, Repeater, Wifi Signal Booster, Access Point| Easy Set-Up | Extends Wifi to Smart Home & Alexa Devices (RE200)","Repeaters&Extenders","5499.00","79185.6","1889.00","27201.6","4.0","49551"
"B00LHZW3XY","Luxor 5 Subject Single Ruled Notebook - A5 Size, 70 GSM, 300 Pages","CompositionNotebooks","180.00","2592.0","125.00","1800.0","4.0","8053"
"B00LHZWD0C","Luxor 5 Subject Single Ruled Notebook - A4, 70 GSM, 300 pages","CompositionNotebooks","315.00","4536.0","252.00","3628.8","4.0","3785"
"B00LM4W1N2","Parker Classic Gold Gold Trim Ball Pen","RetractableBallpointPens","600.00","8640.0","480.00","6912.0","4.0","5719"
"B00LM4X0KU","Parker Quink Ink Bottle, Blue","BottledInk","100.00","1440.0","100.00","1440.0","4.0","3095"
"B00LM4X3XE","Parker Quink Ink Bottle (Black)","BottledInk","100.00","1440.0","90.00","1296.0","4.0","3061"
"B00LOD70SC","Pilot V7 Liquid Ink Roller Ball Pen (2 Blue + 1 Black)","RetractableBallpointPens","210.00","3024.0","178.00","2563.2","4.0","2450"
"B00LP9RFSU","Eureka Forbes Aquasure Amrit Twin Cartridge (Pack of 2), White","WaterPurifierAccessories","825.00","11880.0","825.00","11880.0","4.0","3246"
"B00LVMTA2A","Panasonic CR-2032/5BE Lithium Coin Battery - Pack of 5","GeneralPurposeBatteries&BatteryChargers","250.00","3600.0","225.00","3240.0","4.0","26556"
"B00LXTFMRS","PIDILITE Fevicryl Acrylic Colours Sunflower Kit (10 Colors x 15 ml) DIY Paint, Rich Pigment, Non-Craking Paint for Canvas, Wood, Leather, Earthenware, Metal, Diwali Gifts for Diwali","Paints","225.00","3240.0","191.00","2750.4","4.0","7203"
"B00LY12TH6","Camel Oil Pastel with Reusable Plastic Box - 50 Shades","PaintingMaterials","230.00","3312.0","230.00","3312.0","4.0","9427"
"B00LY17RHI","Camlin Elegante Fountain Pen - Black/Blue/Red","FountainPens","225.00","3240.0","225.00","3240.0","4.0","4798"
"B00LY1FN1K","Camel Fabrica Acrylic Ultra Color - 15ml each, 10 Shades","Paints","230.00","3312.0","200.00","2880.0","4.0","10170"
"B00LZLPYHW","Classmate 2100117 Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages","WireboundNotebooks","160.00","2304.0","137.00","1972.8","4.0","6537"
"B00LZLQ624","Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages","WireboundNotebooks","160.00","2304.0","157.00","2260.8","4.0","8618"
"B00LZPQVMK","Parker Vector Standard Chrome Trim Ball Pen (Ink - Black)","StickBallpointPens","320.00","4608.0","272.00","3916.8","4.0","3686"
"B00MUTWLW4","Logitech K480 Wireless Multi-Device Keyboard for Windows, macOS, iPadOS, Android or Chrome OS, Bluetooth, Compact, Compatible with PC, Mac, Laptop, Smartphone, Tablet - Black","Keyboards","3295.00","47448.0","2595.00","37368.0","4.0","22618"
"B00N1U7JXM","3M Post-it Sticky Note Cube, 200 Sheets (4 Colors x 50 Sheets) | 3"" x 3"" Size | For notes, reminders, study, school and organizing","Notepads&MemoBooks","175.00","2520.0","90.00","1296.0","4.0","7429"
"B00NFD0ETQ","Logitech G402 Hyperion Fury USB Wired Gaming Mouse, 4,000 DPI, Lightweight, 8 Programmable Buttons, Compatible for PC/Mac - Black","GamingMice","2895.00","41688.0","1995.00","28728.0","4.0","10760"
"B00NH11KIK","AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black","USBCables","695.00","10008.0","209.00","3009.6","4.0","107686"
"B00NH11PEY","AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)","USBCables","750.00","10800.0","199.00","2865.6","4.0","74976"
"B00NH12R1O","Amazon Basics USB 3.0 Cable - A Male to Micro B - 6 Feet (1.8 Meters), Black","USBCables","485.00","6984.0","299.00","4305.6","4.0","10911"
"B00NH13Q8W","AmazonBasics USB 2.0 Extension Cable for Personal Computer, Printer, 2-Pack - A-Male to A-Female - 3.3 Feet (1 Meter, Black)","USBCables","800.00","11520.0","299.00","4305.6","4.0","74977"
"B00NM6MO26","Prestige PIC 16.0+ 1900W Induction Cooktop with Soft Touch Push Buttons (Black)","InductionCooktop","3945.00","56808.0","2698.00","38851.2","4.0","15034"
"B00NNQMYNE","AirCase Rugged Hard Drive Case for 2.5-inch Western Digital, Seagate, Toshiba, Portable Storage Shell for Gadget Hard Disk USB Cable Power Bank Mobile Charger Earphone, Waterproof (Black)","HardDiskBags","499.00","7185.6","299.00","4305.6","4.0","21010"
"B00O24PUO6","Orpat OEH-1260 2000-Watt Fan Heater (Grey)","FanHeaters","1650.00","23760.0","1464.00","21081.6","4.0","14120"
"B00O2R38C4","Luminous Vento Deluxe 150 mm Exhaust Fan for Kitchen, Bathroom with Strong Air Suction, Rust Proof Body and Dust Protection Shutters (2-Year Warranty, White)","ExhaustFans","1490.00","21456.0","999.00","14385.6","4.0","12999"
"B00OFM6PEO","Storite USB Extension Cable USB 3.0 Male to Female Extension Cable High Speed 5GBps Extension Cable Data Transfer for Keyboard, Mouse, Flash Drive, Hard Drive, Printer and More- 1.5M - Blue","USBCables","799.00","11505.6","299.00","4305.6","4.0","1902"
"B00P0R95EA","Usha IH2415 1500-Watt Immersion Heater (Silver)","ImmersionRods","640.00","9216.0","510.00","7344.0","4.0","7229"
"B00P93X0VO","Classmate Pulse 6 Subject Notebook - Unruled, 300 Pages, Spiral Binding, 240mm*180mm","WireboundNotebooks","120.00","1728.0","114.00","1641.6","4.0","8938"
"B00P93X2H6","Classmate Pulse Spiral Notebook - 240 mm x 180 mm, Soft Cover, 200 Pages, Unruled","CompositionNotebooks","75.00","1080.0","67.00","964.8","4.0","1269"
"B00P93X6EK","Classmate Soft Cover 6 Subject Spiral Binding Notebook, Unruled, 300 Pages","WireboundNotebooks","160.00","2304.0","157.00","2260.8","4.0","4428"
"B00PVT30YI","Kitchen Mart Stainless Steel South Indian Filter Coffee Drip Maker, Madras Kappi, Drip Decotion Maker160ml (2 Cup)","DripCoffeeMachines","499.00","7185.6","292.00","4204.8","4.0","4238"
"B00R1P3B4O","Fujifilm Instax Mini Single Pack 10 Sheets Instant Film for Fuji Instant Cameras","Film","549.00","7905.6","549.00","7905.6","4.0","4875"
"B00RGLI0ZS","Amkette 30 Pin to USB Charging & Data Sync Cable for iPhone 3G/3GS/4/4s/iPad 1/2/3, iPod Nano 5th/6th Gen and iPod Touch 3rd/4th Gen -1.5m (Black)","USBCables","599.00","8625.6","449.00","6465.6","4.0","3231"
"B00S2SEV7K","Pilot Frixion Clicker Roller Pen (Blue), (9000019529)","LiquidInkRollerballPens","100.00","1440.0","90.00","1296.0","4.0","6199"
"B00S9BSJC8","Philips Viva Collection HR1832/00 1.5-Litre400-Watt Juicer (Ink Black)","Juicers","8995.00","129528.0","6499.00","93585.6","4.0","2810"
"B00SH18114","Ikea 903.391.72 Polypropylene Plastic Solid Bevara Sealing Clip (Multicolour) - 30 Pack, Adjustable","VacuumSealers","299.00","4305.6","160.00","2304.0","4.0","2781"
"B00SMFPJG0","Kent Gold, Optima, Gold+ Spare Kit","WaterCartridges","670.00","9648.0","649.00","9345.6","4.0","7786"
"B00SMJPA9C","Bajaj DX-2 600W Dry Iron with Advance Soleplate and Anti-Bacterial German Coating Technology, Grey","DryIrons","940.00","13536.0","499.00","7185.6","4.0","3036"
"B00TDD0YM4","Philips GC026/30 Fabric Shaver, Lint Remover for Woolen Sweaters, Blankets, Jackets/Burr Remover Pill Remover from Carpets, Curtains (White)","LintShavers","1695.00","24408.0","1490.00","21456.0","4.0","3543"
"B00TI8E7BI","Philips HD9306/06 1.5-Litre Electric Kettle (Multicolor)","ElectricKettles","2695.00","38808.0","2695.00","38808.0","4.0","2518"
"B00UGZWM2I","COI Note Pad/Memo Book with Sticky Notes & Clip Holder with Pen for Gifting","Notepads&MemoBooks","800.00","11520.0","198.00","2851.2","4.0","9344"
"B00V4BGDKU","TP-Link UE300 USB 3.0 to RJ45 Gigabit Ethernet Network Adapter - Plug and Play","WirelessUSBAdapters","1899.00","27345.6","1099.00","15825.6","4.0","22420"
"B00VA7YYUO","Apsara Platinum Pencils Value Pack - Pack of 20","WoodenPencils","99.00","1425.6","99.00","1425.6","4.0","5036"
"B00W56GLOQ","Wonderchef Nutri-blend Mixer, Grinder & Blender | Powerful 400W 22000 RPM motor | Stainless steel Blades | 2 unbreakable jars | 2 Years warranty | Online recipe book by Chef Sanjeev Kapoor | Black","JuicerMixerGrinders","5000.00","72000.0","2699.00","38865.6","4.0","26164"
"B00Y4ORQ46","Logitech H111 Wired On Ear Headphones With Mic Black","On-Ear","795.00","11448.0","745.00","10728.0","4.0","13797"
"B00YMJ0OI8","Prestige PIC 20 1600 Watt Induction Cooktop with Push button (Black)","InductionCooktop","3645.00","52488.0","2148.00","30931.2","4.0","31388"
"B00YQLG7GK","PHILIPS HL1655/00 Hand Blender, White Jar 250W","HandBlenders","1695.00","24408.0","1695.00","24408.0","4.0","14290"
"B00ZRBWPA0","Eveready Red 1012 AAA Batteries - Pack of 10","DisposableBatteries","180.00","2592.0","159.00","2289.6","4.0","989"
"B00ZYLMQH0","Dell KB216 Wired Multimedia USB Keyboard with Super Quite Plunger Keys with Spill-Resistant – Black","Keyboards","1799.00","25905.6","549.00","7905.6","4.0","28829"
"B0116MIKKC","Goldmedal Curve Plus 202042 Plastic Spice 3-Pin 240V Universal Travel Adaptor (White)","WallChargers","171.00","2462.4","99.00","1425.6","4.0","11339"
"B0123P3PWE","Rico IRPRO 1500 Watt Japanese Technology Electric Water Heater Immersion Rod Shockproof Protection & Stainless Steel Heating Element for Instant Heating| ISI Certified 1 Year Replacement Warranty","ImmersionRods","1075.00","15480.0","999.00","14385.6","4.0","9275"
"B012ELCYUG","Preethi MGA-502 0.4-Litre Grind and Store Jar (White), stainless steel, Set of 1","StandMixerAccessories","635.00","9144.0","635.00","9144.0","4.0","4570"
"B012MQS060","Logitech MK215 Wireless Keyboard and Mouse Combo for Windows, 2.4 GHz Wireless, Compact Design, 2-Year Battery Life(Keyboard),5 Month Battery Life(Mouse) PC/Laptop- Black","Keyboard&MouseSets","1795.00","25848.0","1295.00","18648.0","4.0","25771"
"B013B2WGT6","HealthSense Chef-Mate KS 33 Digital Kitchen Weighing Scale & Food Weight Machine for Health, Fitness, Home Baking & Cooking with Free Bowl, 1 Year Warranty & Batteries Included","DigitalKitchenScales","1899.00","27345.6","1099.00","15825.6","4.0","15276"
"B01486F4G6","Borosil Jumbo 1000-Watt Grill Sandwich Maker (Black)","SandwichMakers","3690.00","53136.0","2863.00","41227.2","4.0","6987"
"B0148NPH9I","Logitech K380 Wireless Multi-Device Keyboard for Windows, Apple iOS, Apple TV Android or Chrome, Bluetooth, Compact Space-Saving Design, PC/Mac/Laptop/Smartphone/Tablet (Dark Grey)","Keyboards","3195.00","46008.0","2640.00","38016.0","4.0","16146"
"B014I8SSD0","Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black","HDMICables","475.00","6840.0","309.00","4449.6","4.0","426973"
"B014I8SX4Y","Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black","HDMICables","1400.00","20160.0","309.00","4449.6","4.0","426973"
"B014SZO90Y","Duracell Ultra Alkaline AA Battery, 8 Pcs","DisposableBatteries","315.00","4536.0","266.00","3830.4","4.0","28030"
"B014SZPBM4","Duracell Ultra Alkaline D Battery, 2 Pcs","DisposableBatteries","400.00","5760.0","380.00","5472.0","4.0","2111"
"B015OW3M1W","AmazonBasics 6-Feet DisplayPort (not USB port) to HDMI Cable Black","HDMICables","1700.00","24480.0","799.00","11505.6","4.0","28638"
"B015ZXUDD0","Duracell Rechargeable AA 1300mAh Batteries, 4Pcs","RechargeableBatteries","599.00","8625.6","479.00","6897.6","4.0","11687"
"B0162K34H2","boAt LTG 500 Apple MFI Certified for iPhone, iPad and iPod 2Mtr Data Cable(Space Grey)","USBCables","999.00","14385.6","849.00","12225.6","4.0","6736"
"B0162LYSFS","boAt LTG 500 Apple MFI Certified for iPhone, iPad and iPod 2Mtr Data Cable(Metallic Silver)","USBCables","1749.00","25185.6","799.00","11505.6","4.0","5626"
"B016MDK4F4","Technotech High Speed HDMI Cable 5 Meter V1.4 - Supports Full HD 1080p (Color May Vary)","HDMICables","499.00","7185.6","185.00","2664.0","4.0","25"
"B017NC2IPM","RESONATE RouterUPS CRU12V2A | Zero Drop | UPS for WiFi Router | Mini UPS | Up to 4 Hours PowerBackup | Battery Replacement Program | Router UPS Compatible with 12V <2A Routers, FTTH, Modem, Set Top Box, Alexa, Mini Camera","Routers","2911.00","41918.4","1799.00","25905.6","4.0","20342"
"B017PDR9N0","GIZGA Essentials Portable Tabletop Tablet Stand Mobile Holder, Desktop Stand, Cradle, Dock for iPad, Smartphone, Kindle, E-Reader, Fully Foldable, Adjustable Angle, Anti-Slip Pads, Black","Stands","499.00","7185.6","149.00","2145.6","4.0","25607"
"B0187F2IOK","Bajaj HM-01 Powerful 250W Hand Mixer, Black","HandMixers","2199.00","31665.6","1499.00","21585.6","4.0","6531"
"B0188KPKB2","Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service","MixerGrinders","9455.00","136152.0","3599.00","51825.6","4.0","11828"
"B01892MIPA","AO Smith HSE-VAS-X-015 Storage 15 Litre Vertical Water Heater (Geyser) White 4 Star","StorageWaterHeaters","10900.00","156960.0","7349.00","105825.6","4.0","11957"
"B018SJJ0GE","Libra Roti Maker Electric Automatic | chapati Maker Electric Automatic | roti Maker Machine with 900 Watts for Making Roti/Chapati/Parathas - Stainless Steel","RotiMakers","2999.00","43185.6","1999.00","28785.6","4.0","388"
"B01C8P29N0","Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White","DryIrons","1400.00","20160.0","625.00","9000.0","4.0","23316"
"B01C8P29T4","Bajaj Majesty DX-11 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White and Blue","DryIrons","785.00","11304.0","599.00","8625.6","4.0","24247"
"B01CS4A5V4","Monitor AC Stand/Heavy Duty Air Conditioner Outdoor Unit Mounting Bracket","FanParts&Accessories","1690.00","24336.0","699.00","10065.6","4.0","3524"
"B01D5H8LDM","AmazonBasics 3.5mm to 2-Male RCA Adapter Cable For Tablet, Smartphone (Black, 15 feet)","RCACables","1200.00","17280.0","489.00","7041.6","4.0","69538"
"B01D5H8ZI8","AmazonBasics 3 Feet High Speed HDMI Male to Female 2.0 Extension Cable","HDMICables","595.00","8568.0","229.00","3297.6","4.0","12835"
"B01D5H90L4","AmazonBasics - High-Speed Male to Female HDMI Extension Cable - 6 Feet","HDMICables","700.00","10080.0","299.00","4305.6","4.0","8714"
"B01DEWVZ2C","JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)","In-Ear","999.00","14385.6","599.00","8625.6","4.0","192590"
"B01DF26V7A","JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Red)","In-Ear","1299.00","18705.6","599.00","8625.6","4.0","192589"
"B01DGVKBC6","FEDUS Cat6 Ethernet Cable, 10 Meter High Speed 550MHZ / 10 Gigabit Speed UTP LAN Cable, Network Cable Internet Cable RJ45 Cable LAN Wire, Patch Computer Cord Gigabit Category 6 Wires for Modem, Router","EthernetCables","499.00","7185.6","287.00","4132.8","4.0","8076"
"B01DJJVFPC","Duracell Ultra Alkaline AAA Battery, 8 Pcs","DisposableBatteries","315.00","4536.0","269.00","3873.6","4.0","17810"
