rank,store_name,stat,star,info
20,로지우라 징기스칸 시마다야 스스키노점,"히가시혼간지마에역 295m / 징기스칸, 야키니쿠, 내장구이",3.42,카드 가능 / 분리 흡연 구역 / Wi-Fi있음 / 어린이 동반 가능
21,토리이치,"다누키코지역 300m / 야키토리, 닭 요리, 이자카야",3.63,카드 가능 / 금연
22,일본 요리 코마츠,마루야마코엔역 1655m / 일본 요리,3.97,카드 가능 / 금연 / Wi-Fi있음
23,야키니쿠 내장구이 후우도.,"스스키노역 212m / 야키니쿠, 내장구이, 징기스칸",3.66,카드 가능 / 흡연 가능 / Wi-Fi있음
24,히라츠카 징기스칸 스스키노점,스스키노역 184m / 징기스칸,3.19,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 분리 흡연 구역 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
25,스시도코로 린,"삿포로역 364m / 스시(초밥), 해물",3.63,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음
26,스시도코로 이치이,스스키노역 76m / 스시(초밥),3.68,카드 가능 / 금연 / 어린이 동반 가능
27,홋카이도 야키니쿠 키타우시,"스스키노역 208m / 야키니쿠, 이노베디부 요리",3.64,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음
28,DonDon.야키니쿠⁡,"스스키노역 146m / 야키니쿠, 내장구이, 징기스칸",3.08,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
29,스시 코이세,호스이스스키노역 169m / 스시(초밥),3.71,카드 가능 / 금연 / 어린이 동반 가능
30,스미비 야키토리 아라타나루본즈 스스키노점,스스키노역 138m / 이자카야,3.06,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
31,이로리 징기스칸 에조요우,스스키노역 75m / 징기스칸,3.09,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
32,삿포로 개별룸 게요리 게츠지,"삿포로역 195m / 게, 이자카야",3.61,카드 가능 / 금연
33,HEY MEAT,"다누키코지역 122m / 야키니쿠, 내장구이, 징기스칸",3.52,카드 가능 / 흡연 가능
34,시베츠 징기스칸 스스키노점,"스스키노역 168m / 징기스칸, 야키니쿠, 이자카야",3.37,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
35,삿포로 스시 요코타,"호스이스스키노역 158m / 스시(초밥), 덴푸라, 일본 요리",3.56,카드 가능 / 금연 / 어린이 동반 가능
36,나마 라무 징기스칸 아라타 나루본즈 스스키노 혼텐,"스스키노역 80m / 징기스칸, 야키니쿠, 이자카야",3.26,카드 가능 / 금연 / 어린이 동반 가능
37,징기스칸,"시세이칸쇼갓코마에역 153m / 징기스칸, 야키니쿠, 이자카야",3.65,카드 가능 / 흡연 가능
38,야키니쿠 폰가 삿포로 스스키노점,"스스키노역 121m / 야키니쿠, 내장구이",3.25,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / Wi-Fi있음 / 어린이 동반 가능
39,개별룸 야키니쿠 츠바메 미나미 5조 스스키노점,"스스키노역 189m / 야키니쿠, 내장구이, 한식",3.29,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능 / Wi-Fi있음
40,그리도루&징기스칸 LAMP,시세이칸쇼갓코마에역 155m / 징기스칸,3.41,카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / Wi-Fi있음
41,쿠시 슌사이 하시모토,"호스이스스키노역 211m / 야키토리, 오뎅",3.30,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
42,스스키노 니쿠해물 로바타 신신,"스스키노역 214m / 이자카야, 해물, 로바타야키",3.63,카드 가능 / 흡연 가능
43,산지직송 이키나 이자카야 오이요 다누키코지 4초메점,다누키코지역 119m / 이자카야,3.55,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능 / Wi-Fi있음 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
44,MAKIBI YUI,"호스이스스키노역 199m / 이자카야, 해물, 로바타야키",3.64,카드 가능 / 흡연 가능
45,게타베호우다이 카니자 삿포로,스스키노역 207m / 게,3.52,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능
46,아카렌가 징기스칸 클럽 미나미7조점,"히가시혼간지마에역 123m / 징기스칸, 야키니쿠, 육류 요리",3.24,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
47,히츠지야 돈,"스스키노역 130m / 징기스칸, 야키니쿠, 이자카야",3.59,카드 가능 / 흡연 가능
48,덴푸라 마사,스스키노역 45m / 덴푸라,3.70,카드 가능 / 금연 / Wi-Fi있음
49,오료우리 후지타,니시센 6 조역 724m / 일본 요리,3.94,카드 가능 / 금연
50,히메샤라,"니시센 9 조아사히야마코엔도리역 588m / 스시(초밥), 해물, 일본 요리",3.68,카드 가능 / 금연
51,BIRD WATCHING,"스스키노역 113m / 야키토리, 프렌치, 양식",3.46,카드 가능 / 금연 / 어린이 동반 가능
52,카와무라 다시차,"호스이스스키노역 171m / 일본 요리, 해물",3.50,카드 가능 / 금연
53,누쿠미,나카지마코엔도리역 190m / 일본 요리,3.89,카드 가능 / 금연
54,삿포로 징기스칸 다루마오토시,히가시혼간지마에역 273m / 징기스칸,3.19,카드 가능 / 금연
55,개별룸 이자카야 사카나야로우 삿포로에키마에점,"삿포로역 242m / 이자카야, 해물, 스시(초밥)",3.38,카드 가능 / 분리 흡연 구역 / Wi-Fi있음 / 어린이 동반 가능
56,스시 오쿠노,마루야마코엔역 244m / 스시(초밥),3.53,카드 가능 / 금연
57,와규 샤브샤브 스키야키 후지야마,"오도리역 283m / 샤브샤브, 스키야키",3.07,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
58,우미노시키,"스스키노역 236m / 해물, 게, 샤브샤브",3.53,카드 가능 / 흡연 가능
59,홋카이도 해물토 스시 사카바 시라후,"스스키노역 307m / 이자카야, 해물, 스시(초밥)",3.30,카드 가능 / 분리 흡연 구역 (가열식 담배 전용)
60,홋카이도 마시케초 우오센스이산 스스키노 다이 3 그린 빌 점,"스스키노역 91m / 이자카야, 해물, 스시(초밥)",3.08,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
61,게토 도산료우리 셋카테이,"다누키코지역 90m / 해물, 게, 이자카야",3.24,카드 가능 / 금연 / 어린이 동반 가능 / 어린이 메뉴 있음
62,로바타토 오뎅 코로나기라이 스스키노점,"스스키노역 114m / 이자카야, 오뎅, 로바타야키",3.54,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 흡연 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
63,니쿠 사카나 사이 무라카미,"시세이칸쇼갓코마에역 200m / 프렌치, 양식, 창작 요리",3.08,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
64,스시 야시로,"마루야마코엔역 391m / 스시(초밥), 해물, 가이센동(해물덮밥)",3.53,카드 가능 / 금연
65,마츠오 Jingisukan 삿포로역 스퀘어점,"삿포로역 116m / 징기스칸, 냄비요리, 스테이크",3.03,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 어린이 메뉴 있음 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
66,덴푸라토 해물노 만텐야,"다누키코지역 110m / 일본 요리, 덴푸라, 해물",3.04,카드 가능 / 금연 / 어린이 동반 가능
67,향토 요리 키치자이몬,"다누키코지역 100m / 이자카야, 향토 요리, 해물",3.28,카드 가능 / 흡연 가능
68,아라타나루본즈 고조도리점,시세이칸쇼갓코마에역 143m / 징기스칸,3.16,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
69,삿포로 징기스칸 이치,"히가시혼간지마에역 98m / 징기스칸, 야키니쿠, 이자카야",3.54,카드 가능 / 금연 / 어린이 동반 가능
70,젠,"다누키코지역 302m / 샤브샤브, 스키야키, 스시(초밥)",3.33,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
71,스시도코로 아카츠키 -akatsuki-,"삿포로역 620m / 스시(초밥), 해물, 덴푸라",3.64,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
72,개별룸 이자카야 야키토리토 로바타야키 우치다 삿포로에키마에점,"삿포로역 187m / 이자카야, 야키토리, 해물",3.58,카드 가능 / 흡연 가능
73,THE GARDEN SAPPORO HOKKAIDO GRILLE,오도리역 362m / 창작 요리,3.39,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 어린이 메뉴 있음
74,니쿠도코로 귄베코야,"호스이스스키노역 173m / 야키니쿠, 이자카야, 일본 요리",3.39,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 분리 흡연 구역 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공 / 할랄 메뉴 제공
75,야키니쿠 다이닝 MEGUMI 미나미 8조점,"나카지마코엔역 271m / 야키니쿠, 징기스칸, 내장구이",3.52,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
76,키와미 시오 주쿠세이 징기스칸 「유우히」 아소점,"아사부역 179m / 징기스칸, 이자카야",3.24,카드 가능 / 금연 / 어린이 동반 가능
77,다시 게키조 마루 산카쿠 시카쿠 ○△□ 스스키노 에키마에점,"스스키노역 185m / 이자카야, 해물, 오뎅",3.57,카드 가능 / 흡연 가능
78,스미야키 로바타 쿠시로 신홋카이도 빌점,"삿포로역 175m / 로바타야키, 해물, 이자카야",3.35,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
79,사케비요리 엔이시야,"호스이스스키노역 201m / 이자카야, 해물, 게",3.64,카드 가능 / 흡연 가능 / Wi-Fi있음
80,스스키노 야키니쿠 키라쿠,"히가시혼간지마에역 232m / 야키니쿠, 한식, 일본 요리",3.63,카드 가능 / 분리 흡연 구역 (가열식 담배 전용)
81,개별룸 야키토리 아카미네 삿포로에키마에점,"삿포로역 241m / 이자카야, 야키토리, 내장전골",3.50,카드 가능 / 흡연 가능
82,이로도리야 삿포로에키마에점,"삿포로역 202m / 이자카야, 해물, 야키토리",3.54,카드 가능 / 금연 / 어린이 동반 가능 / 어린이 메뉴 있음
83,RAZAN 스미비 야키니쿠 스스키노점,"시세이칸쇼갓코마에역 134m / 야키니쿠, 내장구이, 한식",3.27,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 흡연 가능 / 사진이 포함된 메뉴판 제공
84,야키니쿠 다이닝 MEGUMI 혼텐,"호스이스스키노역 160m / 야키니쿠, 내장구이, 징기스칸",3.58,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능 / 사진이 포함된 메뉴판 제공
85,마츠오 징기스칸 삿포로오도오리 미나미 1조점,"니시 4초메역 64m / 징기스칸, 냄비요리",3.28,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
86,기린 비아 레스토랑 하우베,"오사쓰역 804m / 징기스칸, 야키니쿠, 비어 홀(호프)",3.42,카드 가능 / 금연 / 어린이 동반 가능 / 어린이 메뉴 있음
87,야키니쿠 키와미 카이,"스스키노역 192m / 야키니쿠, 이자카야, 내장구이",3.31,카드 가능 / 금연 / 어린이 동반 가능
88,가야 오타루점,"오타루역 930m / 야키니쿠, 내장구이, 냉면",3.15,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음
89,덮밥베에 니조 시죠점,"바스센타마에역 388m / 가이센동(해물덮밥), 해물, 이자카야",3.46,카드 가능 / 금연 / 어린이 동반 가능 / 어린이 메뉴 있음
90,노미도코로 야나기,"시세이칸쇼갓코마에역 102m / 이자카야, 해물",3.54,카드 가능 / 흡연 가능 / Wi-Fi있음
91,쿠시도리 미나미니죠점,"다누키코지역 240m / 꼬치구이, 야키토리, 이자카야",3.13,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 디지털 메뉴판 제공
92,스시 시쿠라,"스스키노역 38m / 스시(초밥), 해물, 일본 요리",3.58,카드 가능 / 흡연 가능 / Wi-Fi있음
93,토모시비,"스스키노역 119m / 이자카야, 해물, 일본 요리",3.64,카드 가능 / 흡연 가능
94,지자케토 도산쇼쿠자이 잇쇼 벳테이,"스스키노역 94m / 이자카야, 해물, 사케바(니혼슈바)",3.62,카드 가능 / 흡연 가능
95,타쿠죠 레몬 사와 야키니쿠 내장구이 타케다 삿포로에키마에점,"삿포로역 141m / 야키니쿠, 내장구이, 이자카야",3.50,카드 가능 / 금연
96,삿포로 Kaisen-don 전문점 스시돈부리 스스키노점,스스키노역 230m / 가이센동(해물덮밥),3.62,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
97,레스토랑 코토도루,"니시 28초메역 400m / 프렌치, 바",3.88,카드 가능 / 금연
98,타쿠즈시,"다누키코지역 125m / 스시(초밥), 일본 요리",3.70,카드 가능 / 금연
99,야키니쿠 GINGA,"다누키코지역 123m / 야키니쿠, 내장구이, 징기스칸",3.40,카드 가능 / 흡연 가능 / Wi-Fi있음
100,우메노 하나 삿포로점,"니시 4초메역 299m / 두부 요리, 일본 요리, 도시락",3.13,카드 가능 / 금연 / 어린이 동반 가능
