rank,store_name,stat,star,info
27,미도리,"난바역 163m / 야키토리, 닭 요리, 이자카야",3.56,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 흡연 가능
28,아바라야,"긴테쓰닛폰바시역 260m / 스시(초밥), 이자카야, 해물",3.59,카드 가능 / 금연
29,뉴베이브 난바점,난바역 219m / 돈까스,3.51,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
30,꼬치튀김 전문점 켄쿠시 우메다 나카자키초점,"나카자키초역 226m / 꼬치튀김, 이자카야, 해물",3.61,카드 가능 / 금연
31,마츠사카규 야키니쿠 M 난바점,"난바역 258m / 야키니쿠, 쇠고기 요리",3.09,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
32,YAKINIKUEN 닌닝 오사카 우메다점,"히가시우메다역 126m / 야키니쿠, 내장구이, 이자카야",3.15,다국어 메뉴판 제공 / 카드 가능 / 금연 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
33,난바 와규 야키니쿠 스키야키 카스미,"닛폰바시역 229m / 야키니쿠, 스키야키, 내장구이",3.24,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
34,오사카 야키니쿠 타베호우다이 야키니쿠 에이트 우메다 차야마치점,"오사카우메다역 267m / 야키니쿠, 내장구이, 이자카야",3.12,카드 가능 / 금연 / 어린이 동반 가능
35,스시 아카즈,"기타신치역 271m / 스시(초밥), 일본 요리, 해물",3.69,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음
36,스시 신노스케,"사카이스지혼마치역 226m / 스시(초밥), 해물, 일본 요리",3.65,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
37,하카타 응원대 토리 사카바 난바점,"난바역 164m / 야키토리, 이자카야, 내장전골",3.09,카드 가능 / 흡연 가능
38,료우보우,요츠바시역 178m / 야키토리,3.75,다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능
39,야키니쿠 내장구이 카기야 신이마미야점,"신이마미야 에키마에역 108m / 야키니쿠, 내장구이",3.35,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능 / Wi-Fi있음 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
40,epais,"기타신치역 299m / 돈까스, 카레",3.72,카드 가능 / 금연
41,나카모츠야 미나미센바점,사카이스지혼마치역 315m / 야키니쿠,3.15,카드 가능 / 분리 흡연 구역
42,AT THE 21 namba,"긴테쓰닛폰바시역 299m / 오코노미야키, 야키소바",3.44,카드 가능 / 금연 / 어린이 동반 가능
43,야키토리 토리탄 우메다 히가시도오리,"히가시우메다역 439m / 야키토리, 이자카야",3.17,카드 가능 / 흡연 가능
44,장어노 나카쇼우 신사이바시점,"신사이바시역 314m / 장어, 일본 요리, 해물",3.17,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
45,오사카 철판구이 코우베규우 TATARA,"히가시우메다역 97m / 철판구이, 스테이크, 프렌치",3.52,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 메뉴 있음
46,스시 사카바 텟페이,"히가시우메다역 297m / 스시(초밥), 이자카야, 해물",3.53,카드 가능 / 금연 / 어린이 동반 가능
47,오코노미야키 이자카야 겐,"닛폰바시역 370m / 이자카야, 오코노미야키, 철판구이",3.08,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능
48,Panyo 키타신치,"오에바시역 330m / 철판구이, 해물, 스테이크",3.09,카드 가능 / 흡연 가능 / Wi-Fi있음
49,와규 야키니쿠 니쿠하치 도톤보리혼텐,"닛폰바시역 208m / 야키니쿠, 내장구이, 한식",3.09,카드 가능 / 흡연 가능
50,철판구이 에비스,"오사카난바역 155m / 이자카야, 스테이크, 오코노미야키",3.32,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
51,야키토리 야타가라스,"미나미모리마치역 344m / 야키토리, 꼬치구이, 닭 요리",3.23,카드 가능 / 금연 / 어린이 동반 가능 / 채식주의자 메뉴 제공
52,도톤보리 크라후토 비아 조조조 난바 CITY,"난바역 219m / 이자카야, 꼬치튀김, 비어 홀(호프)",3.39,카드 가능 / 금연 / 어린이 동반 가능
53,야키토리 히카리,오사카텐만구역 153m / 야키토리,3.70,카드 가능 / 금연
54,야키톤 오오모리 쇼텐,"후쿠시마역 71m / 이자카야, 타치노미(선술집), 꼬치구이",3.39,흡연 가능
55,스미비야키토리 쿠와도리 난바점,"난바역 203m / 야키토리, 이자카야, 냄비요리",3.24,카드 가능 / 흡연 가능 / Wi-Fi있음
56,후지규 야키니쿠,"닛폰바시역 250m / 야키니쿠, 철판구이, 장어",3.02,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 디지털 메뉴판 제공
57,스시 후미야,"노다한신역 159m / 스시(초밥), 해물",3.05,카드 가능 / 금연 / 어린이 동반 가능
58,뉴 마츠사카 우메다 32번가점,"우메다역 141m / 철판구이, 스테이크, 시푸드",3.50,카드 가능 / 금연
59,코리안 한 키친 ZEN 도톤보리점,"닛폰바시역 225m / 한식, 야키니쿠, 이자카야",3.07,카드 가능 / 흡연 가능 / Wi-Fi있음
60,돈카츠 미나토,닛폰바시역 380m / 돈까스,3.60,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
61,와규 스키야키 쿠로노 우라 난바 혼텐,"긴테쓰닛폰바시역 243m / 스키야키, 일본 요리, 이자카야",3.27,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
62,스키야키 샤브샤브 츠루야,"긴테쓰닛폰바시역 207m / 냄비요리, 스키야키, 샤브샤브",3.24,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능
63,쿠로몬 사카에스시,긴테쓰닛폰바시역 146m / 스시(초밥),3.25,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 분리 흡연 구역 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
64,오우곤다시샤부토 에도마에 스시(초밥) 니쿠노 아사츠 우메다 오하츠텐진점,"히가시우메다역 183m / 샤브샤브, 스시(초밥), 스키야키",3.34,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 분리 흡연 구역 / 어린이 동반 가능
65,대슈우 스키야키 호쿠토 GEMS 난바점,"난바역 111m / 스키야키, 이자카야, 냄비요리",3.36,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
66,폰포코테이 츠루하시점,"쓰루하시역 206m / 오코노미야키, 철판구이, 이자카야",3.25,카드 가능 / 분리 흡연 구역 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음
67,쿠로게 와규우톤타ン토 하라미 야키니쿠 류우 난바 센니치마에점,"난바역 143m / 야키니쿠, 내장구이, 이자카야",3.13,카드 가능 / 금연
68,야키니쿠 Lab 우메다점,"히가시우메다역 128m / 야키니쿠, 한식, 내장구이",3.32,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
69,오사카 철판구이 고베규 스테이크 Zin 난바점,"난바역 189m / 철판구이, 스테이크",3.28,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능
70,스시젠,"나가호리바시역 317m / 스시(초밥), 일본 요리, 이자카야",3.57,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
71,야키니쿠 나나츠보시 신사이바시스지점,"신사이바시역 122m / 야키니쿠, 내장구이, 이자카야",3.34,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
72,OKINI 야키니쿠,"난바역 98m / 야키니쿠, 샤브샤브, 이자카야",3.08,금연
73,이타마에 야키니쿠 이치규우 도톤보리점,"오사카난바역 174m / 야키니쿠, 내장구이, 이자카야",3.09,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
74,빈초탄토 미야자키도리 센몬 TORA토리YA,"히가시우메다역 204m / 야키토리, 닭 요리, 이자카야",3.32,카드 가능 / 흡연 가능 / Wi-Fi있음 / 채식주의자 메뉴 제공
75,야키니쿠 돈돈 아메리카무라점,"오사카난바역 361m / 야키니쿠, 내장구이, 이자카야",3.16,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능
76,G.O.D,"오사카 비즈니스 파크역 315m / 야키토리, 이자카야, 냄비요리",3.55,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
77,쿠로게 와규 우설토 하라미 야키니쿠 고리찬 오하츠텐진점,"히가시우메다역 137m / 야키니쿠, 내장구이, 한식",3.35,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 흡연 가능 / Wi-Fi있음 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
78,스시 카나데,"신사이바시역 154m / 스시(초밥), 덴푸라, 일본 요리",3.35,카드 가능 / 금연 / 어린이 동반 가능
79,돈카츠 이마이 키타신치점,"오에바시역 278m / 돈까스, 카레",3.56,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
80,안주테이,"닛폰바시역 323m / 야키니쿠, 내장구이, 이자카야",3.27,카드 가능 / 흡연 가능
81,야키니쿠 타마키,"나카자키초역 230m / 야키니쿠, 샤브샤브, 스테이크",3.69,카드 가능 / 흡연 가능 / Wi-Fi있음 / 채식주의자 메뉴 제공
82,스미비야키니쿠･내장구이 모츠노 텐마야,"덴마역 180m / 야키니쿠, 내장구이",3.55,카드 가능 / 흡연 가능
83,스시 후지야마,"히고바시역 555m / 스시(초밥), 해물, 일본 요리",3.58,카드 가능 / 금연 / 어린이 동반 가능
84,테바토로 가라아게토 토리야키니쿠 아이노스케 신사이바시점,"신사이바시역 297m / 닭 요리, 야키니쿠, 이자카야",3.52,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
85,스미비 야키니쿠 쇼와 Horumon 텐마점,덴마역 29m / 야키니쿠,3.07,카드 가능 / 흡연 가능
86,로바타 후로시키,"나가호리바시역 221m / 로바타야키, 해물, 이자카야",3.32,카드 가능 / 흡연 가능 / Wi-Fi있음
87,마츠자카규우 야키니쿠 M 도톤보리 센니치마에점,"닛폰바시역 273m / 야키니쿠, 쇠고기 요리, 스테이크",3.02,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
88,스시 소우고로우,"기타신치역 108m / 스시(초밥), 해물, 일본 요리",3.59,카드 가능 / 금연
89,야키니쿠 우시고로 우메다점,"오사카역 242m / 야키니쿠, 스테이크, 내장구이",3.61,카드 가능 / 금연 / 어린이 동반 가능
90,야키니쿠 쓰루하시,"쓰루하시역 78m / 야키니쿠, 내장구이, 한식",3.36,카드 가능 / 분리 흡연 구역 / 어린이 동반 가능 / 어린이 메뉴 있음
91,숙성니쿠 숙성우오 코나레 텐노오지점,"오사카아베노바시역 111m / 이자카야, 해물, 스키야키",3.09,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
92,야키토리 Kakuiro,"신후쿠시마역 138m / 야키토리, 이자카야",3.54,카드 가능 / 금연 / 어린이 동반 가능
93,니쿠쇼우 나카타 혼점,"난바역 123m / 야키니쿠, 스테이크, 샤브샤브",3.69,카드 가능 / 금연
94,스시야 렌타로오,"후쿠시마역 326m / 스시(초밥), 해물, 일본 요리",3.51,카드 가능 / 금연 / 어린이 동반 가능
95,나니와즈시 본점,"오사카난바역 114m / 스시(초밥), 해물, 일본 요리",3.40,카드 가능 / 금연
96,모쯔 무소우 유마루 센니치마에 혼텐,"닛폰바시역 197m / 내장전골, 내장구이, 이자카야",3.36,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
97,꼬치튀김 킷친 단 쥬우조점,"주소역 93m / 꼬치튀김, 일본 요리, 이자카야",3.51,카드 가능 / 흡연 가능
98,돈카츠 나기카츠,"나가호리바시역 139m / 돈까스, 일본 요리, 돼지고기 요리",3.35,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 디지털 메뉴판 제공
99,야키니쿠 오키니 료우타로우,신사이바시역 431m / 야키니쿠,3.15,카드 가능 / 금연
100,스시하나,닛폰바시역 381m / 스시(초밥),3.39,카드 가능 / 금연 / 어린이 동반 가능
