rank,store_name,stat,star,info
36,하카타 모츠나베 안메이 후쿠오카 하카타 혼텐,"구시다 신사 앞역 378m / 내장전골, 이자카야, 해물",3.24,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / Wi-Fi있음 / 사진이 포함된 메뉴판 제공
37,하카타 히토쿠치 교자 타케토라 오야후코도오리점,"덴진역 292m / 교자, 닭날개, 이자카야",3.26,카드 가능 / 흡연 가능
38,야키니쿠 얏짱 나카스점,나카스카와바타역 292m / 야키니쿠,3.21,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능 / 사진이 포함된 메뉴판 제공
39,오구라 스시 마츠모토,"헤이와도오리역 169m / 스시(초밥), 해물",3.50,카드 가능 / 금연
40,원카루비 PREMIUM 텐진 이마이즈미,"니시테츠후쿠오카역 166m / 야키니쿠, 내장구이",3.04,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
41,yakinikuhorumonyamashou,"아카사카역 317m / 야키니쿠, 내장구이, 한식",3.64,카드 가능 / 흡연 가능
42,스시쇼우 후쿠오카점,"아카사카역 393m / 스시(초밥), 해물, 일본 요리",3.62,카드 가능 / 금연 / 어린이 동반 가능
43,하카타 모츠나베 마에다야 다이묘점,"아카사카역 372m / 내장전골, 이자카야, 향토 요리",3.59,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
44,야키니쿠 스키야키 쥰 텐진 케이고점,"야쿠인오도리역 477m / 야키니쿠, 스키야키, 내장구이",3.23,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
45,스미비야키니쿠 시치린야,"와타나베도오리역 317m / 야키니쿠, 이자카야, 식당",3.12,카드 가능 / 흡연 가능
46,하카타 모츠나베 마에다야 소혼텐,"하카타역 506m / 내장전골, 이자카야, 해물",3.63,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
47,우설야키 전문점 요코마사,"아카사카역 301m / 우설, 이자카야",3.57,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
48,모츠나베 잇케이 하루요시혼텐,"와타나베도오리역 379m / 내장전골, 냄비요리, 쇠고기 요리",3.60,카드 가능 / 금연 / 어린이 동반 가능
49,하카타 스시긴,"나카스카와바타역 392m / 스시(초밥), 해물, 일본 요리",3.54,카드 가능 / 금연
50,Yakiniku COWSI,"덴진미나미역 261m / 야키니쿠, 내장구이, 이자카야",3.55,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
51,아카미야코우시,"와타나베도오리역 280m / 스테이크, 야키니쿠, 이자카야",3.66,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 / 어린이 동반 가능
52,하카타 야키니쿠 우시노,"하카타역 406m / 야키니쿠, 이자카야, 한식",3.09,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
53,모츠나베 전문점 간소 모츠나베 라쿠텐치 텐진 니시도오리점,"니시테츠후쿠오카역 351m / 내장전골, 이자카야, 내장구이",3.45,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
54,모츠나베 나가마사 하카타혼텐,"구시다 신사 앞역 429m / 내장전골, 해물, 이자카야",3.58,카드 가능 / 금연 / 어린이 동반 가능
55,하카타 니쿠조 우라코시,"히가시히에역 475m / 이자카야, 내장전골, 스키야키",3.12,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
56,모츠나베 센몬텐 간소 모츠나베 라쿠텐치 하카타에키마에점,"하카타역 468m / 내장전골, 이자카야, 내장구이",3.46,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
57,야키니쿠게키조우 록쇼우,"덴진미나미역 190m / 야키니쿠, 스테이크, 이자카야",3.08,카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
58,야키토리 이나다,"구시다 신사 앞역 765m / 야키토리, 이자카야, 육류 요리",3.51,카드 가능 / 금연
59,혼카쿠 야키토리 다이미요우 헤테 니,"아카사카역 373m / 야키토리, 닭 요리, 꼬치구이",3.54,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
60,코우시캰프,"아카사카역 397m / 육류 요리, 야키니쿠, 스테이크",3.57,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
61,스시 키요마츠,"하카타역 422m / 스시(초밥), 해물, 일본 요리",3.42,카드 가능 / 금연
62,하카타 야키토리 사카바 스우,"덴진미나미역 302m / 야키토리, 향토 요리",3.09,카드 가능 / 금연
63,하카타 칸베에 기온테이,"구시다 신사 앞역 144m / 이자카야, 해물, 내장전골",3.31,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능
64,츠치야,"나카스카와바타역 286m / 이자카야, 야키토리, 짬뽕",3.18,카드 가능 / 흡연 가능 / Wi-Fi있음
65,시치린 야키니쿠 바카토 아호 하루요시점,와타나베도오리역 430m / 야키니쿠,3.29,다국어 가능한 직원 상주 / 흡연 가능
66,미라쿠,"헤이와도오리역 324m / 해물, 복어, 게",3.58,카드 가능 / 금연 / 어린이 동반 가능
67,하카타 모츠나베 마에다야 하카타점,"하카타역 412m / 내장전골, 이자카야, 해물",3.60,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
68,츄우슈보우 판도라,"하카타역 1071m / 중식, 이자카야, 교자",3.18,카드 가능 / 흡연 가능
69,다이미요 야키니쿠 USHI-BUCHI,"아카사카역 295m / 야키니쿠, 스테이크, 이자카야",3.08,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
70,하카타 모츠나베 오오야마 하카타 데이토스,"하카타역 140m / 내장전골, 이자카야, 스테이크",3.42,카드 가능 / 금연 / 어린이 동반 가능
71,모츠나베 잇푸지 이마이즈미혼점,"니시테츠후쿠오카역 300m / 내장전골, 냄비요리, 내장구이",3.44,카드 가능 / 금연 / 어린이 동반 가능
72,덴푸라 타나카,"야쿠인오도리역 467m / 덴푸라, 일본 요리",3.78,카드 가능 / 금연
73,긴샤리 스미야키 촛큐우,"야쿠인역 290m / 야키니쿠, 이자카야, 내장구이",3.38,카드 가능 / 금연
74,Yorgo,아카사카역 493m / 비스트로,3.71,카드 가능 / 금연
75,카와타로 하카타에키점,"하카타역 244m / 해물, 일본 요리",3.68,카드 가능 / 금연 / 어린이 동반 가능
76,이케다 센교,"와타나베도오리역 427m / 이자카야, 해물",3.41,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능
77,하카타 장어야 후지우나,하카타역 263m / 장어,3.47,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
78,스시노미바 니기루。,하카타역 585m / 스시(초밥),3.21,카드 가능 / 금연
79,나카스 모츠나베 나고미,"나카스카와바타역 225m / 이자카야, 내장전골",3.09,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
80,하카타 미즈타키 hiro,"와타나베도오리역 187m / 미즈타키, 이자카야, 향토 요리",3.48,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
81,아카미 야키니쿠 하루짱,구시다 신사 앞역 488m / 야키니쿠,3.09,카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
82,야쿠토리 사카바 토리보시 케이고점,야쿠인오도리역 449m / 닭 요리,3.07,카드 가능 / 금연
83,야키니쿠 코코카라 나카스점,"구시다 신사 앞역 323m / 야키니쿠, 이자카야",3.08,카드 가능 / 흡연 가능
84,와규 잇토 야키니쿠 보야 후쿠오카 원빌점,"덴진역 143m / 야키니쿠, 내장구이, 이자카야",3.11,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
85,스시 사카나,"하카타역 466m / 스시(초밥), 해물, 일본 요리",3.36,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
86,간소 모츠나베 모츠야키 락텐치 야쿠인 와타나베도오리점,"와타나베도오리역 192m / 내장전골, 이자카야, 내장구이",3.10,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / Wi-Fi있음 / 사진이 포함된 메뉴판 제공
87,겐카이노 카츠교토 이토시마 촉소우노 쇼쿠 하카타 이자카야 도겐카이,"하카타역 263m / 이자카야, 해물, 내장전골",3.47,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
88,야키토리 요시카와,"야쿠인역 195m / 야키토리, 이자카야, 닭 요리",3.51,카드 가능 / 금연
89,하카타 토리카와 다이진 에키마에 쿠시보우,하카타역 633m / 야키토리,3.35,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
90,야키니쿠 내장구이 진세이 다이짱,"마이다시큐다이뵤인마에역 120m / 야키니쿠, 내장구이, 이자카야",3.64,카드 가능 / 금연 / 어린이 동반 가능
91,하카타 해물 킨목세이,"하카타역 252m / 이자카야, 해물, 가이센동(해물덮밥)",3.39,카드 가능 / 금연 / 어린이 동반 가능
92,료우리야 쇼우。,"나카스카와바타역 402m / 일본 요리, 스시(초밥), 해물",3.50,카드 가능 / 금연
93,하카타 카니후쿠,"하카타역 425m / 일본 요리, 게, 덴푸라",3.35,카드 가능 / 금연 / 어린이 동반 가능
94,이자카야 마루야 니시나카스,"나카스카와바타역 443m / 이자카야, 해물, 내장전골",3.49,카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / 어린이 동반 가능
95,앗파레! 키소우텐가이 센교토 와규 하카타 나카스 혼점,"나카스카와바타역 92m / 이자카야, 해물, 내장전골",3.08,다국어 메뉴판 제공 / 카드 가능 / 금연
96,모츠나베 쇼우라쿠 후쿠오카혼텐,"덴진미나미역 307m / 내장전골, 이자카야",3.45,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
97,모츠나베 나가마사 츠쿠시키치점,"하카타역 481m / 내장전골, 이자카야, 해물",3.44,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 어린이 메뉴 있음
98,원조 모츠나베 라쿠텐치 텐진혼텐,"덴진역 343m / 내장전골, 내장구이, 이자카야",3.43,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
99,뉴 로바타 카타나 식당,"헤이와도오리역 67m / 이자카야, 해물, 라멘(라면)",3.53,카드 가능 / 흡연 가능
100,울프갱 스테이크 하우스 후쿠오카점,"구시다 신사 앞역 189m / 스테이크, 다이닝 바, 와인바",3.68,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음 / 채식주의자 메뉴 제공
