rank,store_name,stat,star,info
22,Lee°,"기온시조역 449m / 이탈리안, 스테이크, 철판구이",3.11,카드 가능 / 금연
23,코료우리 타카야,교토역 441m / 일본 요리,3.64,카드 가능 / 금연
24,스미비 야키니쿠 마루주,"구조역 310m / 내장구이, 야키니쿠, 냄비요리",,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
25,기도ン 타케스시,"기온시조역 316m / 스시(초밥), 일본 요리, 해물",3.17,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능
26,폰슈야 산토쿠로쿠미 고죠 타카쿠라점,"고조역 303m / 오뎅, 일본 요리, 해물",3.57,금연 / Wi-Fi있음
27,하코노스시 이로아카리,"기온시조역 438m / 스시(초밥), 해물",3.25,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 사진이 포함된 메뉴판 제공
28,쿄우 쿠로자쿠라,"기온시조역 199m / 야키니쿠, 바베큐, 이자카야",3.08,카드 가능 / 금연 / 어린이 동반 가능
29,오타치도코로 스시키。,가라스마역 104m / 서서먹는 스시(서서먹는 초밥),3.28,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능
30,쿠로자쿠라 하치조구치점,"교토역 358m / 야키니쿠, 내장구이, 스테이크",3.15,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 비건 메뉴 제공 / 채식주의자 메뉴 제공 / 글루텐프리 메뉴 제공
31,복어·게·하모 키즈키,"교토역 362m / 복어, 게, 장어",3.37,카드 가능 / 금연 / 어린이 동반 가능 / 어린이 메뉴 있음
32,교우토 야키니쿠 enen 폰토초혼텐,"기온시조역 200m / 야키니쿠, 내장구이, 한식",3.42,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
33,장어 히츠마부시 스미야구라 교토 시조 가와라마치점,"교토 가와라마치역 114m / 장어, 일본 요리, 냄비요리",3.42,카드 가능 / 금연 / 어린이 동반 가능
34,야키니쿠 야자와 교토,"시조역 189m / 야키니쿠, 내장구이",3.75,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
35,기온 다이쇼엔,"기온시조역 212m / 야키니쿠, 내장구이, 우설",3.56,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
36,만류우,"기온시조역 374m / 철판구이, 오코노미야키",3.04,카드 가능 / 금연
37,마타모야,"산조역 161m / 사케바(니혼슈바), 비어바, 이자카야",3.04,카드 가능 / 흡연 가능 / Wi-Fi있음
38,오스테리아 이탈리아나 세븐 엔바즈,교토시야쿠쇼마에역 124m / 이탈리안,3.24,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음 / 사진이 포함된 메뉴판 제공 / 채식주의자 메뉴 제공
39,켄조 에스테이토 와이너리 기온점,"기온시조역 225m / 와인바, 프렌치, 창작 요리",3.40,카드 가능 / 금연
40,야키토리・가마솥 밥 이로하카루타 키야마치 혼텐,"기온시조역 311m / 이자카야, 야키토리, 일본 요리",3.28,카드 가능 / 금연 / 어린이 동반 가능
41,우메노 하나 마츠이야마테점,"마쓰이야마테역 185m / 두부 요리, 일본 요리, 샤브샤브",3.04,카드 가능 / 금연 / 어린이 동반 가능 / 어린이 메뉴 있음
42,시구레,"히가시야마역 511m / 일본 요리, 냄비요리",3.19,다국어 메뉴판 제공 / 카드 가능 / 금연 / 어린이 동반 가능 / 어린이 메뉴 있음
43,부리쇼우,"고조역 516m / 해물, 샤브샤브, 이자카야",3.42,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
44,la princesse Kyoto,"가라스마역 412m / 프렌치, 바르, 이탈리안",3.31,카드 가능 / 금연 / 어린이 동반 가능
45,쿠시텟판 조론파 무로마치 붓코우지점,"시조역 241m / 꼬치구이, 철판구이, 해물",3.23,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 비건 메뉴 제공
46,교토 다이너,"가라스마역 386m / 바르, 이탈리안, 와인바",3.45,다국어 메뉴판 제공 / 카드 가능 / 금연 / 사진이 포함된 메뉴판 제공
47,니쿠노 요이치 후시미모모야마점,후시미모모야마역 139m / 야키니쿠,3.05,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 흡연 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
48,쿄우토미안,"오미야역 408m / 닭 요리, 오야코동, 미즈타키",3.37,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
49,키하라,"마루타마치역 221m / 야키니쿠, 내장구이, 한식",3.09,카드 가능 / 흡연 가능
50,야키니쿠 내장구이 분고 교토 사이인점,"사이인역 130m / 야키니쿠, 이자카야, 한식",3.37,카드 가능 / 분리 흡연 구역 / 어린이 동반 가능
51,쿄우카이세키 미노키치 타케시게로우 호텔 그란비아 교토점,"교토역 71m / 일본 요리, 장어, 해물",3.57,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음
52,텟판 사카바 히로시,"도지역 315m / 철판구이, 스테이크, 이자카야",3.09,카드 가능 / 흡연 가능 / Wi-Fi있음
53,류우안,"기온시조역 164m / 야키니쿠, 일본 요리, 이자카야",3.29,카드 가능 / 금연 / 어린이 동반 가능
54,야키니쿠야 케이,"니시오지역 399m / 야키니쿠, 한식, 이자카야",3.06,카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / 어린이 동반 가능
55,SCALAE,"교토역 273m / 이탈리안, 와인바",3.56,카드 가능 / 금연 / 어린이 동반 가능 / 어린이 메뉴 있음
56,야키니쿠 아지도우라쿠,"히가시마이즈루역 131m / 야키니쿠, 내장구이, 이자카야",3.09,카드 가능 / 금연 / 어린이 동반 가능
57,해물 사카바 코우리,"사이인역 249m / 이자카야, 해물, 스시(초밥)",3.11,다국어 메뉴판 제공 / 카드 가능 / 분리 흡연 구역 (가열식 담배 전용)
58,쿠로게와규 잇토우가이 야키니쿠토 타키타테 도나베 고한 이치바코우지 카라스마점,"가라스마역 44m / 야키니쿠, 내장구이, 이자카야",3.42,카드 가능 / 금연 / 어린이 동반 가능
59,스시 후카가와,"교토시야쿠쇼마에역 488m / 스시(초밥), 일본 요리, 게",3.58,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음 / 비건 메뉴 제공 / 채식주의자 메뉴 제공 / 글루텐프리 메뉴 제공
60,쿄우동 이신,"기온시조역 892m / 우동, 일본 요리, 스키야키",3.09,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
61,Stars'n Cacio KYOTO,"교토 가와라마치역 343m / 이탈리안, 스테이크, 파스타",3.35,카드 가능 / 금연 / Wi-Fi있음 / 채식주의자 메뉴 제공
62,o・mo・ya 히가시노토우인,"가라스마역 314m / 프렌치, 비스트로, 일본 요리",3.38,다국어 메뉴판 제공 / 카드 가능 / 금연
63,르 탕,"교토역 110m / 뷔페, 카페, 케이크",3.47,카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음 / 할랄 메뉴 제공
64,마소호 하나레,"교토역 287m / 이자카야, 해물, 로바타야키",3.26,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능
65,기온245,"산조케이한역 353m / 이탈리안, 프렌치, 스테이크",3.63,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
66,기온 이시야,"기온시조역 459m / 야키니쿠, 일본 요리, 이자카야",3.25,카드 가능 / 분리 흡연 구역 / 어린이 동반 가능
67,카이토 시로와인노 바르 KAKIMARU 시치조점,"교토역 580m / 바르, 이탈리안, 이자카야",3.21,다국어 메뉴판 제공 / 카드 가능 / 금연
68,BUONAGIO,"교토 가와라마치역 136m / 철판구이, 스테이크, 해물",3.09,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 채식주의자 메뉴 제공 / 글루텐프리 메뉴 제공
69,계절요리 스시 신,"가라스마역 331m / 일본 요리, 스시(초밥)",3.05,카드 가능 / 금연 / 어린이 동반 가능
70,쿄우료우리 슌미슌사이 타이치,"가라스마역 383m / 일본 요리, 복어, 덴푸라",3.18,카드 가능 / 금연
71,코미다 라티나 코스타,"가라스마오이케역 291m / 멕시코 요리, 스페인 요리, 타코",3.38,카드 가능 / 흡연 가능
72,소우혼케 마마 사이칸 릿카,"데마치야나기역 464m / 대만 요리, 중식, 바르",3.33,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 어린이 메뉴 있음 / 디지털 메뉴판 제공 / 채식주의자 메뉴 제공
73,장어 만키치,교토 가와라마치역 124m / 장어,3.09,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
74,류우큐우 식당 KUKURU 카라스마점,"가라스마역 98m / 오키나와 요리, 이자카야, 식당",3.30,카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
75,스시 사카바 스시토후지 산조,"산조역 200m / 스시(초밥), 이자카야, 오뎅",3.09,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
76,지다이야 쿄타ナ베점,"신타나베역 162m / 야키토리, 이자카야, 꼬치구이",3.06,카드 가능 / 금연 / Wi-Fi있음 / 사진이 포함된 메뉴판 제공
77,기온나와테 토리야스,"기온시조역 292m / 미즈타키, 닭 요리, 스키야키",3.54,카드 가능 / 금연 / 어린이 동반 가능
78,숙세이 야키니쿠 폰도 교토에키마에점,"교토역 434m / 야키니쿠, 내장구이, 이자카야",3.08,카드 가능 / 금연
79,만자라테이 NISHIKI,"가라스마역 180m / 이자카야, 육류 요리, 소바",3.44,카드 가능 / 금연 / 디지털 메뉴판 제공
80,샤오룽바오 츠츠미 신이치 츠츠미 신이치,"교토역 490m / 이자카야, 중식, 교자",3.47,다국어 메뉴판 제공 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 디지털 메뉴판 제공
81,리스토란테 스트라다,교토시야쿠쇼마에역 407m / 이탈리안,3.35,카드 가능 / 금연 / 어린이 동반 가능
82,코케콧코,"교토역 127m / 이자카야, 스테이크, 야키토리",3.48,카드 가능 / 금연 / 어린이 동반 가능
83,PREMIUM ROBATA SANDA,"교토 가와라마치역 141m / 일본 요리, 창작 요리, 로바타야키",3.06,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능
84,우와지마 타이메시토 장어 모토야마,"마루타마치역 410m / 장어, 창작 요리, 일본 요리",3.04,다국어 메뉴판 제공 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공
85,미노키치 혼텐 타케시게로우,"게아게역 503m / 일본 요리, 장어, 해물",3.63,카드 가능 / 분리 흡연 구역 / 어린이 동반 가능 / 어린이 메뉴 있음
86,쇼우게츠 카와라마치점,"교토 가와라마치역 344m / 오코노미야키, 철판구이, 이자카야",3.18,카드 가능 / 흡연 가능
87,교자 토 도테니 우사기야,"가라스마역 126m / 이자카야, 교자, 일본 요리",3.32,카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
88,마츠사카규 WHAT'S 교토 무로마치점,"가라스마오이케역 310m / 야키니쿠, 내장구이, 스테이크",3.27,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
89,니쿠테이 유히,"교토시야쿠쇼마에역 180m / 야키니쿠, 일본 요리, 스테이크",3.19,카드 가능 / 금연 / 어린이 동반 가능
90,이타마에 야키니쿠 잇쇼우 시조 키야마치,"기온시조역 147m / 야키니쿠, 샤브샤브, 이자카야",3.11,카드 가능 / 금연 / 어린이 동반 가능
91,마루젠 후쿠치야마점,후쿠치야마 시민뵤인구치역 766m / 야키니쿠,3.04,다국어 가능한 직원 상주 / 카드 가능 / 금연 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공
92,교토 스시 모토키,"교토역 470m / 스시(초밥), 해물",3.38,카드 가능 / 금연 / 어린이 동반 가능
93,한식 안반,"가라스마오이케역 395m / 한식, 이자카야, 야키니쿠",3.14,카드 가능 / 금연 / 어린이 동반 가능
94,카키다 스시 하나레 sekka,"가라스마오이케역 372m / 스시(초밥), 일본 요리, 해물",3.04,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연
95,폰토쵸 야키니쿠 키라쿠,"산조역 237m / 야키니쿠, 내장구이, 일본 요리",3.61,카드 가능 / 분리 흡연 구역 / Wi-Fi있음 / 어린이 동반 가능
96,야키니쿠 다이닝 다이코쿠에비스 폰토쵸점,"기온시조역 250m / 야키니쿠, 내장구이",3.09,카드 가능 / 분리 흡연 구역 (가열식 담배 전용) / Wi-Fi있음 / 어린이 동반 가능
97,기온 오반자이 오리베 기온점,기온시조역 115m / 이자카야,3.08,다국어 메뉴판 제공 / 카드 가능 / 흡연 가능 / Wi-Fi있음 / 사진이 포함된 메뉴판 제공 / 채식주의자 메뉴 제공
98,사나료우리 아기야오,"고조역 180m / 해물, 일본 요리, 이자카야",3.59,카드 가능 / 금연
99,Casa de Amigos,"교토역 393m / 멕시코 요리, 타코, 퍼브",3.09,다국어 메뉴판 제공 / 다국어 가능한 직원 상주 / 카드 가능 / 금연 / Wi-Fi있음 / 어린이 동반 가능 / 사진이 포함된 메뉴판 제공 / 디지털 메뉴판 제공 / 비건 메뉴 제공 / 채식주의자 메뉴 제공 / 글루텐프리 메뉴 제공
100,호헤토,기온시조역 175m / 스키야키,3.24,카드 가능 / 흡연 가능
